Date,Open,High,Low,Close,Adj Close,Volume
8/26/2024,4.79,4.82,4.75,4.79,4.79,91081242
8/23/2024,4.77,4.83,4.74,4.79,4.79,144927804
8/22/2024,4.76,4.8,4.74,4.76,4.76,124864435
8/21/2024,4.76,4.79,4.72,4.76,4.76,115383008
8/20/2024,4.8,4.8,4.74,4.76,4.76,126316122
8/19/2024,4.74,4.79,4.72,4.79,4.79,186396009
8/16/2024,4.57,4.74,4.56,4.73,4.73,323169554
8/15/2024,4.51,4.56,4.46,4.53,4.53,129144625
8/14/2024,4.48,4.53,4.46,4.5,4.5,105705328
8/13/2024,4.46,4.49,4.45,4.47,4.47,96733076
8/12/2024,4.53,4.53,4.44,4.46,4.46,102663976
8/9/2024,4.59,4.62,4.52,4.52,4.52,121107059
8/8/2024,4.56,4.62,4.55,4.59,4.59,85446257
8/7/2024,4.59,4.64,4.57,4.57,4.57,96292592
8/6/2024,4.67,4.7,4.53,4.59,4.59,189249971
8/5/2024,4.75,4.78,4.65,4.66,4.66,181472206
8/2/2024,4.72,4.8,4.7,4.76,4.76,203394759
8/1/2024,4.68,4.78,4.68,4.72,4.72,186164119
7/31/2024,4.8,4.8,4.69,4.7,4.7,240421447
7/30/2024,4.75,4.8,4.73,4.78,4.78,123187357
7/29/2024,4.63,4.78,4.62,4.75,4.75,169965234
7/26/2024,4.73,4.74,4.6,4.65,4.65,193264411
7/25/2024,4.79,4.82,4.69,4.73,4.73,186813311
7/24/2024,4.72,4.83,4.71,4.79,4.79,199356317
7/23/2024,4.75,4.8,4.73,4.74,4.74,142223744
7/22/2024,4.8,4.81,4.71,4.75,4.75,156160302
7/19/2024,4.76,4.8,4.72,4.8,4.8,177687870
7/18/2024,4.72,4.83,4.71,4.81,4.7576,194881445
7/17/2024,4.81,4.82,4.72,4.74,4.688363,178499627
7/16/2024,4.8,4.82,4.77,4.81,4.7576,125617664
7/15/2024,4.77,4.85,4.76,4.81,4.7576,169607122
7/12/2024,4.74,4.8,4.72,4.78,4.727927,144031849
7/11/2024,4.75,4.79,4.72,4.75,4.698254,133890095
7/10/2024,4.75,4.8,4.72,4.73,4.678472,131068871
7/9/2024,4.74,4.79,4.67,4.77,4.718036,166529630
7/8/2024,4.71,4.76,4.71,4.72,4.668581,130922553
7/5/2024,4.72,4.72,4.72,4.72,4.668581,0
7/4/2024,4.76,4.8,4.71,4.72,4.668581,146583002
7/3/2024,4.74,4.81,4.72,4.77,4.718036,177211889
7/2/2024,4.68,4.76,4.68,4.74,4.688363,193438669
7/1/2024,4.7,4.73,4.67,4.68,4.629016,167086735
6/28/2024,4.58,4.71,4.57,4.7,4.648798,262374920
6/27/2024,4.51,4.61,4.5,4.59,4.539997,204872821
6/26/2024,4.5,4.53,4.44,4.52,4.470759,125194869
6/25/2024,4.54,4.58,4.46,4.5,4.450977,143600067
6/24/2024,4.57,4.59,4.54,4.55,4.500433,124743428
6/21/2024,4.52,4.58,4.5,4.57,4.520215,133112745
6/20/2024,4.57,4.59,4.5,4.52,4.470759,126002287
6/19/2024,4.55,4.6,4.54,4.57,4.520215,125365706
6/18/2024,4.51,4.55,4.5,4.55,4.500433,94020755
6/17/2024,4.5,4.55,4.48,4.51,4.460868,135244769
6/14/2024,4.42,4.51,4.41,4.51,4.460868,178882259
6/13/2024,4.42,4.45,4.4,4.43,4.38174,128348209
6/12/2024,4.49,4.49,4.37,4.42,4.371849,232701694
6/11/2024,4.55,4.59,4.47,4.47,4.421304,179512987
6/7/2024,4.54,4.57,4.52,4.57,4.520215,123847731
6/6/2024,4.54,4.57,4.52,4.52,4.470759,127238690
6/5/2024,4.59,4.59,4.53,4.54,4.490541,108948758
6/4/2024,4.58,4.6,4.53,4.6,4.549888,134539855
6/3/2024,4.57,4.62,4.56,4.59,4.539997,135078458
5/31/2024,4.58,4.61,4.57,4.57,4.520215,120935530
5/30/2024,4.58,4.61,4.56,4.58,4.530106,122629198
5/29/2024,4.64,4.65,4.58,4.59,4.539997,141756206
5/28/2024,4.69,4.72,4.63,4.64,4.589452,139106161
5/27/2024,4.63,4.7,4.6,4.7,4.648798,178926116
5/24/2024,4.63,4.67,4.6,4.61,4.559779,123101161
5/23/2024,4.7,4.7,4.63,4.64,4.589452,135253133
5/22/2024,4.67,4.7,4.65,4.69,4.638907,164291800
5/21/2024,4.65,4.68,4.64,4.67,4.619125,124772676
5/20/2024,4.62,4.67,4.62,4.66,4.609234,191297150
5/17/2024,4.58,4.64,4.56,4.64,4.589452,172202463
5/16/2024,4.6,4.61,4.56,4.58,4.530106,151695071
5/15/2024,4.64,4.64,4.58,4.59,4.539997,142379551
5/14/2024,4.67,4.68,4.63,4.64,4.589452,120934760
5/13/2024,4.65,4.69,4.62,4.66,4.609234,172578317
5/10/2024,4.64,4.7,4.63,4.67,4.619125,196264267
5/9/2024,4.63,4.66,4.62,4.64,4.589452,147935318
5/8/2024,4.66,4.67,4.62,4.64,4.589452,130560326
5/7/2024,4.67,4.69,4.65,4.67,4.619125,140440263
5/6/2024,4.73,4.74,4.65,4.66,4.609234,273075147
4/30/2024,4.69,4.77,4.68,4.69,4.638907,223762080
4/29/2024,4.77,4.78,4.67,4.69,4.638907,305210803
4/26/2024,4.73,4.79,4.72,4.76,4.708145,199267285
4/25/2024,4.72,4.74,4.69,4.74,4.688363,113122397
4/24/2024,4.71,4.74,4.68,4.73,4.678472,120425250
4/23/2024,4.77,4.8,4.69,4.71,4.658689,190714208
