Date,Close,Open,High,Low,Vol.,Change %
13-Sep-24,186.95,186.77,188.49,185.93,20.26M,-0.03%
12-Sep-24,187.00,184.8,187.41,183.54,33.62M,1.34%
11-Sep-24,184.52,180.1,184.99,175.73,42.56M,2.77%
10-Sep-24,179.55,177.49,180.5,176.79,36.23M,2.37%
9-Sep-24,175.40,174.53,175.85,173.51,29.04M,2.34%
6-Sep-24,171.39,177.24,178.38,171.16,41.47M,-3.65%
5-Sep-24,177.89,175,179.88,174.99,40.17M,2.63%
4-Sep-24,173.33,174.48,175.98,172.54,30.31M,-1.66%
3-Sep-24,176.25,177.55,178.26,175.26,37.82M,-1.26%
30-Aug-24,178.50,172.78,178.9,172.6,43.43M,3.71%
29-Aug-24,172.12,173.22,174.29,170.81,26.41M,0.77%
28-Aug-24,170.80,173.69,173.69,168.92,29.05M,-1.34%
27-Aug-24,173.12,174.15,174.89,172.25,29.84M,-1.36%
26-Aug-24,175.50,176.7,177.47,174.3,22.37M,-0.87%
23-Aug-24,177.04,177.34,178.97,175.24,29.15M,0.52%
22-Aug-24,176.13,181.38,181.47,175.68,32.05M,-2.21%
21-Aug-24,180.11,179.92,182.38,178.89,35.60M,0.69%
20-Aug-24,178.88,177.92,179.01,177.43,26.26M,0.37%
19-Aug-24,178.22,177.64,178.3,176.16,31.13M,0.66%
16-Aug-24,177.06,177.04,178.34,176.26,31.49M,-0.30%
15-Aug-24,177.59,174.86,177.91,173.99,51.70M,4.40%
14-Aug-24,170.10,172.11,172.28,168.86,28.84M,-0.08%
13-Aug-24,170.23,167.81,171.04,167.1,39.24M,2.06%
12-Aug-24,166.80,168.14,168.55,166.11,30.07M,-0.08%
9-Aug-24,166.94,166.4,168.55,165.85,36.40M,0.69%
8-Aug-24,165.80,165.16,166.69,162.55,44.62M,1.86%
7-Aug-24,162.77,166.55,167.58,161.43,48.41M,0.52%
6-Aug-24,161.93,161.71,165.08,158.54,59.95M,0.57%
5-Aug-24,161.02,154.21,162.96,151.61,83.15M,-4.10%
2-Aug-24,167.90,166.75,168.77,160.55,141.45M,-8.78%
1-Aug-24,184.07,189.29,190.6,181.87,70.44M,-1.56%
31-Jul-24,186.98,185.05,187.94,184.46,41.67M,2.90%
30-Jul-24,181.71,184.72,185.86,179.38,39.51M,-0.81%
29-Jul-24,183.20,183.84,184.75,182.38,33.27M,0.38%
26-Jul-24,182.50,180.39,183.19,180.24,29.51M,1.47%
25-Jul-24,179.85,182.91,183.9,176.8,44.46M,-0.54%
24-Jul-24,180.83,183.2,185.45,180.41,41.53M,-2.99%
23-Jul-24,186.41,184.1,189.39,183.56,47.54M,2.11%
22-Jul-24,182.55,185,185.06,182.48,39.93M,-0.32%
19-Jul-24,183.13,181.14,184.93,180.11,43.08M,-0.34%
18-Jul-24,183.75,189.59,189.68,181.45,51.04M,-2.22%
17-Jul-24,187.93,191.35,191.58,185.99,48.08M,-2.64%
16-Jul-24,193.02,195.59,196.62,192.24,33.99M,0.16%
15-Jul-24,192.72,194.56,196.19,190.83,40.68M,-0.91%
12-Jul-24,194.49,194.8,196.47,193.83,30.60M,-0.29%
11-Jul-24,195.05,200.09,200.27,192.86,44.57M,-2.37%
10-Jul-24,199.79,199.99,200.11,197.69,32.88M,0.23%
9-Jul-24,199.34,199.4,200.57,199.04,32.76M,0.03%
8-Jul-24,199.29,200.04,201.2,197.96,34.77M,-0.36%
5-Jul-24,200.00,198.65,200.55,198.17,39.86M,1.22%
3-Jul-24,197.59,199.94,200.03,196.76,31.60M,-1.21%
2-Jul-24,200.00,197.28,200.43,195.93,45.60M,1.42%
1-Jul-24,197.20,193.49,198.3,192.82,41.19M,2.04%
28-Jun-24,193.25,197.73,198.85,192.5,76.93M,-2.32%
27-Jun-24,197.85,195.01,199.84,194.2,74.40M,2.19%
26-Jun-24,193.61,186.92,194.8,186.26,65.10M,3.90%
25-Jun-24,186.34,186.81,188.84,185.42,45.90M,0.41%
24-Jun-24,185.57,189.33,191,185.33,50.61M,-1.86%
21-Jun-24,189.08,187.8,189.27,185.86,72.93M,1.60%
