Date,Close,Open,High,Low,Vol.,Change %
8/28/2024,1550.71,"1,566.24","1,566.89","1,547.47",,-1.13%
8/27/2024,1568.44,"1,550.53","1,568.91","1,547.13",,0.31%
8/26/2024,1563.54,"1,555.36","1,566.55","1,555.36",,1.06%
8/23/2024,1547.10,"1,539.47","1,549.04","1,535.78",,-0.34%
8/22/2024,1552.41,"1,540.77","1,553.29","1,529.96",,1.45%
8/21/2024,1530.21,"1,522.30","1,532.22","1,514.33",,-0.76%
8/20/2024,1542.00,"1,555.96","1,555.96","1,537.03",,-0.33%
8/19/2024,1547.17,"1,548.05","1,558.56","1,545.13",,0.83%
8/16/2024,1534.48,"1,521.33","1,538.30","1,519.05",,1.98%
8/15/2024,1504.70,"1,497.06","1,520.51","1,489.45",,-0.15%
8/14/2024,1506.91,"1,518.51","1,520.07","1,501.93",,-0.46%
8/13/2024,1513.81,"1,512.24","1,520.34","1,504.74",,0.36%
8/12/2024,1508.31,"1,506.01","1,511.48","1,496.83",,0.24%
8/9/2024,1504.71,"1,504.99","1,519.45","1,504.07",,1.25%
8/8/2024,1486.13,"1,475.93","1,499.46","1,466.84",,0.06%
8/7/2024,1485.21,"1,469.97","1,494.76","1,468.93",,1.45%
8/6/2024,1463.98,"1,480.47","1,486.16","1,460.72",,-0.05%
8/5/2024,1464.76,"1,463.69","1,488.50","1,442.16",,-1.50%
8/2/2024,1487.12,"1,494.61","1,500.25","1,479.96",,-2.16%
8/1/2024,1520.02,"1,523.30","1,529.24","1,515.04",,-0.37%
7/31/2024,1525.70,"1,499.99","1,531.01","1,495.74",,2.12%
7/30/2024,1494.08,"1,510.48","1,510.53","1,491.56",,-1.29%
7/29/2024,1513.55,"1,511.22","1,524.38","1,506.70",,1.29%
7/26/2024,1494.24,"1,498.67","1,511.35","1,485.74",,0.05%
7/25/2024,1493.48,"1,515.81","1,518.10","1,490.00",,-1.73%
7/24/2024,1519.73,"1,531.47","1,537.58","1,514.70",,-0.82%
7/23/2024,1532.37,"1,552.68","1,554.99","1,531.31",,-1.00%
7/22/2024,1547.84,"1,530.87","1,553.02","1,519.33",,1.41%
7/19/2024,1526.29,"1,543.50","1,545.40","1,523.58",,-2.09%
7/18/2024,1558.90,"1,549.16","1,565.79","1,545.80",,0.05%
7/17/2024,1558.06,"1,557.43","1,564.86","1,550.93",,0.13%
7/16/2024,1555.99,"1,566.62","1,570.14","1,555.99",,-1.63%
7/15/2024,1581.70,"1,598.40","1,601.84","1,575.93",,-1.63%
7/12/2024,1607.84,"1,583.85","1,609.81","1,583.85",,2.55%
7/11/2024,1567.87,"1,549.42","1,570.55","1,548.60",2.64B,2.02%
7/10/2024,1536.87,"1,548.75","1,561.86","1,535.65",3.09B,-0.11%
7/9/2024,1538.50,"1,533.32","1,546.12","1,524.79",3.25B,0.12%
7/8/2024,1536.67,"1,548.81","1,554.22","1,530.23",3.27B,-1.43%
7/5/2024,1559.03,"1,578.63","1,583.78","1,558.89",5.10B,-1.21%
7/4/2024,1578.11,"1,584.05","1,589.07","1,570.88",4.18B,0.36%
7/3/2024,1572.51,"1,557.63","1,575.27","1,555.71",5.72B,1.35%
